date,regime,confidence,gated_regime,wf_regime,alloc_SP500,alloc_Bonds,alloc_Gold,alloc_Cash,strategy_ret,spy_ret
2020-01-02,Low-Vol,0.9945,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.00934,0.009352
2020-01-03,Low-Vol,0.9717,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,-0.000894,-0.007572
2020-01-06,Low-Vol,0.9926,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.002584,0.003815
2020-01-07,Low-Vol,0.9986,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,-0.002558,-0.002812
2020-01-08,Low-Vol,0.9998,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.001658,0.00533
2020-01-09,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.004883,0.006781
2020-01-10,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.000366,-0.002878
2020-01-13,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.003466,0.006878
2020-01-14,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,-0.000128,-0.001525
2020-01-15,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.003492,0.00226
2020-01-16,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.005036,0.008319
2020-01-17,Low-Vol,1.0,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.000654,0.003112
2020-01-21,Low-Vol,0.9998,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.000839,-0.001958
2020-01-22,Low-Vol,0.9986,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.000821,0.000121
2020-01-23,Low-Vol,0.9598,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.002428,0.001147
2020-01-24,Neutral,0.8739,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,-0.004023,-0.008893
2020-01-27,Macro,0.996,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,-0.007427,-0.016029
2020-01-28,Bull,0.685,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.004877,0.010479
2020-01-29,Bull,0.8006,Low-Vol,Low-Vol,0.7,0.2,0.1,0.0,0.001919,-0.000826
2020-01-30,Bull,0.8066,Bull,Low-Vol,1.0,0.0,0.0,0.0,0.003125,0.003245
2020-01-31,Macro,0.9745,Bull,Low-Vol,1.0,0.0,0.0,0.0,-0.018158,-0.018158
2020-02-03,Macro,0.5022,Bull,Low-Vol,1.0,0.0,0.0,0.0,0.007429,0.007429
2020-02-04,Bull,0.7143,Bull,Macro,1.0,0.0,0.0,0.0,0.015241,0.015241
2020-02-05,Bull,0.9034,Bull,Macro,1.0,0.0,0.0,0.0,0.011548,0.011548
